gson,2.7,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
guava,23.5-jre,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-annotations,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-auth,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-aws,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-client,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-common,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-hdfs-client,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-common,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-core,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-jobclient,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-api,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-client,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-common,3.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hk2-api,2.4.0-b34,CDDL + GPLv2 with classpath exception,Approved,"","",""
hk2-locator,2.4.0-b34,CDDL + GPLv2 with classpath exception,Approved,"","",""
hk2-utils,2.4.0-b34,CDDL + GPLv2 with classpath exception,Approved,"","",""
hppc,0.7.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
htrace-core4,4.1.0-incubating,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
httpclient,4.5.6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
httpcore,4.4.10,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
ivy,2.4.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
j2objc-annotations,1.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-annotations,2.6.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core,2.6.7,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core-asl,1.9.13,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-databind,2.6.7.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-jaxrs-base,2.9.8,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-jaxrs-json-provider,2.9.8,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-mapper-asl,1.9.13,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-jaxb-annotations,2.9.8,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-paranamer,2.7.9,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-scala_2.12,2.6.7.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
janino,3.0.9,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
java-ipv6,0.17,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
javassist,3.24.1-GA,"Apache 2.0,GNU Lesser General Public License version 2.1,MPL 1.1",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,https://opensource.org/licenses/LGPL-2.1,","",""
javax.annotation-api,1.2,CDDL + GPLv2 with classpath exception,Approved,"","",""
javax.inject,2.4.0-b34,CDDL + GPLv2 with classpath exception,Approved,"","",""
javax.servlet-api,3.1.0,CDDL + GPLv2 with classpath exception,Approved,"","",""
javax.ws.rs-api,2.0.1,"CDDL 1.1,GPL2 w/ CPE",Approved,",","",""
jawn-parser_2.12,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
jaxb-api,2.2.11,"CDDL 1.1,GPL2 w/ CPE",Approved,",","",""
jcip-annotations,1.0-1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jcl-over-slf4j,1.7.16,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
jersey-client,1.19,"CDDL 1.1,GPL2 w/ CPE",Approved,",","",""
jersey-client,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-common,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-container-servlet,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-container-servlet-core,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-core,1.19,"CDDL 1.1,GPL2 w/ CPE",Approved,",","",""
jersey-guava,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-media-jaxb,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-server,2.22.2,CDDL+GPL License,Approved,"","",""
jersey-servlet,1.19,"CDDL 1.1,GPL2 w/ CPE",Approved,",","",""
