LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
jackson-datatype-joda,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-datatype-jsr310,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-jaxrs-base,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-jaxrs-json-provider,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-mapper-asl,1.9.13,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-afterburner,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-jaxb-annotations,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-parameter-names,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-paranamer,2.6.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-module-scala_2.11,2.6.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
janino,3.0.0,New BSD License,"","",""
javassist,3.18.1-GA,"MPL 1.1,LGPL 2.1,Apache 2.0",",,http://www.apache.org/licenses/LICENSE-2.0.txt","",""
javassist,3.21.0-GA,"MPL 1.1,LGPL 2.1,Apache 2.0",",,http://www.apache.org/licenses/LICENSE-2.0.txt","",""
javax.annotation-api,1.2,CDDL + GPLv2 with classpath exception,"","",""
javax.el,2.2.4,CDDL + GPLv2 with classpath exception,"","",""
javax.el,3.0.0,CDDL + GPLv2 with classpath exception,"","",""
javax.el-api,2.2.4,CDDL + GPLv2 with classpath exception,"","",""
javax.inject,1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
javax.inject,2.4.0-b34,CDDL + GPLv2 with classpath exception,"","",""
javax.inject,2.5.0-b32,CDDL + GPLv2 with classpath exception,"","",""
javax.servlet-api,3.1.0,CDDL + GPLv2 with classpath exception,"","",""
javax.ws.rs-api,2.0.1,"CDDL 1.1,GPL2 w/ CPE",",","",""
jboss-logging,3.3.0.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jcl-over-slf4j,1.7.16,MIT,http://opensource.org/licenses/mit-license,"",""
jcl-over-slf4j,1.7.24,MIT,http://opensource.org/licenses/mit-license,"",""
jersey-bean-validation,2.25.1,CDDL+GPL License,"","",""
jersey-client,2.22.2,CDDL+GPL License,"","",""
jersey-client,2.25.1,CDDL+GPL License,"","",""
jersey-common,2.22.2,CDDL+GPL License,"","",""
jersey-common,2.25.1,CDDL+GPL License,"","",""
jersey-container-servlet,2.22.2,CDDL+GPL License,"","",""
jersey-container-servlet,2.25.1,CDDL+GPL License,"","",""
jersey-container-servlet-core,2.22.2,CDDL+GPL License,"","",""
jersey-container-servlet-core,2.25.1,CDDL+GPL License,"","",""
jersey-guava,2.22.2,CDDL+GPL License,"","",""
jersey-guava,2.25.1,CDDL+GPL License,"","",""
jersey-media-jaxb,2.22.2,CDDL+GPL License,"","",""
jersey-media-jaxb,2.25.1,CDDL+GPL License,"","",""
jersey-media-multipart,2.25.1,CDDL+GPL License,"","",""
jersey-metainf-services,2.25.1,CDDL+GPL License,"","",""
jersey-server,2.22.2,CDDL+GPL License,"","",""
jersey-server,2.25.1,CDDL+GPL License,"","",""
jets3t,0.7.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jetty-continuation,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-http,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-io,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-security,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-server,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-servlet,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-servlets,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-setuid-java,1.0.3,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-util,6.1.26,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-util,9.4.6.v20170531,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-webapp,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jetty-xml,9.4.2.v20170220,"Apache Software License - Version 2.0,Eclipse Public License - Version 1.0",",","",""
jffi,1.2.10,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jline,0.9.94,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,"",""
jmespath-java,1.11.219,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jnr-constants,0.9.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jnr-ffi,2.0.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jnr-posix,3.0.27,"Common Public License - v 1.0,GPLv2,GNU Lesser General Public License Version 2.1",",http://www.gnu.org/licenses/gpl-2.0.txt,","",""
jnr-x86asm,1.0.2,MIT,http://opensource.org/licenses/mit-license,"",""
joda-convert,1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
joda-time,2.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
