babel-plugin-transform-define,1.3.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/FormidableLabs/babel-plugin-transform-define
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-block-scoping,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-classes,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-computed-properties,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-destructuring,6.23.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-for-of,6.23.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-function-name,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-literals,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-modules-commonjs,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-object-super,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-parameters,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-shorthand-properties,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-spread,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-sticky-regex,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-template-literals,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es2015-unicode-regex,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es3-member-expression-literals,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-es3-property-literals,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-flow-strip-types,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-object-assign,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-object-rest-spread,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-react-display-name,6.25.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-react-jsx,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-react-jsx-source,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-regenerator,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator
babel-plugin-transform-strict-mode,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-preset-es2015-node,6.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-preset-fbjs,2.1.4,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
babel-preset-jest,21.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-preset-react-native,4.0.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",https://github.com/facebook/react-native/tree/master/babel-preset/README.md
babel-register,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-runtime,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-template,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-traverse,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-types,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babylon,6.18.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
balanced-match,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/juliangruber/balanced-match
base-64,0.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://mths.be/base64
base64-js,0.0.8,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
base64-js,1.1.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
base64-js,1.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/beatgammit/base64-js
base64-url,1.2.1,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",https://github.com/joaquimserafim/base64-url
basic-auth,1.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
basic-auth-connect,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://jongleberry.com
batch,0.5.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
bcrypt-pbkdf,1.0.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
beeper,1.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
big-integer,1.6.26,Unlicense,Approved,"","",Unknown
block-stream,0.0.9,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",http://blog.izs.me/
body-parser,1.13.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
boolbase,1.0.0,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",https://github.com/fb55/boolbase
boom,2.10.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
boom,4.3.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
boom,5.2.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
bplist-creator,0.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
bplist-creator,0.0.7,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
bplist-parser,0.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
bplist-parser,0.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
brace-expansion,1.1.8,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/juliangruber/brace-expansion
braces,1.8.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/jonschlinkert/braces
browser-resolve,1.11.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
bser,2.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",https://facebook.github.io/watchman/docs/bser.html
buffer-crc32,0.2.13,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/brianloveswords/buffer-crc32
builtin-modules,1.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
bytes,2.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://tjholowaychuk.com
bytes,2.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://tjholowaychuk.com
bytes,3.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://tjholowaychuk.com
caller-path,0.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://sindresorhus.com
callsites,0.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://sindresorhus.com
callsites,2.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
camelcase,1.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://sindresorhus.com
camelcase,4.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
caseless,0.12.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",Unknown
center-align,0.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/jonschlinkert/center-align
chalk,1.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
chalk,2.3.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
chardet,0.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/runk/node-chardet
cheerio,1.0.0-rc.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",mat.io
ci-info,1.1.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/watson/ci-info
circular-json,0.3.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/WebReflection/circular-json
clamp,1.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://github.com/hughsk
cli-cursor,1.0.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
cli-cursor,2.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
cliui,2.1.0,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",Unknown
cliui,3.2.0,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",Unknown
cli-width,2.2.0,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",https://github.com/knownasilya/cli-width
clone,1.0.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://paul.vorba.ch/
clone-stats,0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/hughsk/clone-stats
co,4.6.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
code-point-at,1.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
code-push,1.11.2-beta,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://microsoft.github.io/code-push
color-convert,1.9.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
color-name,1.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/dfcreative/color-name
colors,0.5.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
combined-stream,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/felixge/node-combined-stream
commander,2.11.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
component-emitter,1.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
compressible,2.0.12,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
compression,1.5.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
concat-map,0.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://substack.net
concat-stream,1.6.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
connect,2.30.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://tjholowaychuk.com
connect-timeout,1.6.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
console-control-strings,1.1.0,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",http://re-becca.org/
contains-path,0.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/jonschlinkert/contains-path
content-type,1.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
content-type-parser,1.0.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://domenic.me/
convert-source-map,1.5.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/thlorenz/convert-source-map
cookie,0.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
cookiejar,2.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
cookie-parser,1.3.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://tjholowaychuk.com
cookie-signature,1.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
copy-paste,1.3.0,BSD*,Approved,"","",Unknown
core-js,1.2.7,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
core-js,2.5.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
core-util-is,1.0.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://blog.izs.me/
crc,3.3.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/alexgorbatchev/node-crc
create-react-class,15.6.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://facebook.github.io/react/
cross-spawn,5.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://indigounited.com
cryptiles,2.0.5,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
cryptiles,3.1.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
csrf,3.0.6,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://jongleberry.com
cssom,0.3.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
css-select,1.2.0,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
cssstyle,0.2.37,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/chad3814/CSSStyleDeclaration
css-what,2.1.0,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",http://feedic.com
csurf,1.8.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://jongleberry.com
damerau-levenshtein,1.0.4,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
dashdash,1.14.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://trentm.com
data-uri-to-buffer,1.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/TooTallNate/node-data-uri-to-buffer
dateformat,2.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/felixge/node-dateformat
debug,2.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
debug,2.6.9,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
debug,3.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
decamelize,1.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
deep-extend,0.4.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/unclechu/node-deep-extend
deep-is,0.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://thlorenz.com
default-require-extensions,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",github.com/jamestalmage
define-properties,1.1.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
degenerator,1.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://n8.io/
del,2.2.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
delayed-stream,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/felixge/node-delayed-stream
delegates,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
denodeify,1.2.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/matthew-andrews/denodeify
depd,1.0.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
depd,1.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
destroy,1.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://jongleberry.com
detect-indent,4.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
detect-libc,1.0.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",Unknown
diff,3.4.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",Unknown
discontinuous-range,1.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/dtudury/discontinuous-range
doctrine,1.5.0,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",https://github.com/eslint/doctrine
doctrine,2.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",https://github.com/eslint/doctrine
domelementtype,1.1.3,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
domelementtype,1.3.0,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
domhandler,2.4.1,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
dom-serializer,0.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
domutils,1.5.1,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
domutils,1.6.2,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
dom-walk,0.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/Raynos/dom-walk
duplexer2,0.0.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",http://www.fknsrs.biz/
ecc-jsbn,0.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/quartzjer/ecc-jsbn
ee-first,1.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://jongleberry.com
emoji-regex,6.5.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://mths.be/emoji-regex
encoding,0.1.12,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
entities,1.1.1,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",Unknown
envinfo,3.9.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
enzyme,3.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://airbnb.io/enzyme/
enzyme-adapter-react-16,1.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://airbnb.io/enzyme/
enzyme-adapter-utils,1.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://airbnb.io/enzyme/
errno,0.1.4,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
error-ex,1.3.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
errorhandler,1.4.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
es6-promise,4.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Conversion to ES6 API by Jake Archibald
es6-promisify,5.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
es-abstract,1.9.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",http://ljharb.codes
escape-html,1.0.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
escape-html,1.0.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
escape-string-regexp,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",sindresorhus.com
escodegen,1.9.0,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",http://github.com/estools/escodegen
eslint,4.11.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://eslint.org/
eslint-config-airbnb,16.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/airbnb/javascript
eslint-config-airbnb-base,12.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/airbnb/javascript
